,director_name,Film,gross,genres,duration,plot_keywords,Year,Award,Name
429,David O. Russell,The Fighter,93571803.0,Biography|Drama|Sport,116.0,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,2010,Actress in a Supporting Role,Melissa Leo
430,Jonathan Lynn,My Cousin Vinny,52929168.0,Comedy|Crime,120.0,alabama|jail|judicial system|lawyer|trial,1992,Actress in a Supporting Role,Marisa Tomei
431,Tim Robbins,Dead Man Walking,39025000.0,Crime|Drama,122.0,death|execution|nun|solitary confinement|visit,1995,Actor in a Leading Role,Sean Penn
432,Tim Robbins,Dead Man Walking,39025000.0,Crime|Drama,122.0,death|execution|nun|solitary confinement|visit,1995,Actress in a Leading Role,Susan Sarandon
433,John Crowley,Brooklyn,38317535.0,Drama|Romance,111.0,1950s|immigrant|irish|irish accent|torn between two worlds,2015,Actress in a Leading Role,Saoirse Ronan
434,Bill Condon,Kinsey,10214647.0,Biography|Drama,118.0,professor|research|sex|sexuality|student,2004,Actress in a Supporting Role,Laura Linney
435,Lasse HallstrÌ¦m,What's Eating Gilbert Grape,9170214.0,Drama|Romance,118.0,apostrophe in title|face slap|four word title|grocery store|police,1993,Actor in a Supporting Role,Leonardo DiCaprio
436,Mike Leigh,Vera Drake,3753806.0,Crime|Drama,125.0,1950s|miscarriage|neighbor|pregnancy|tailor,2004,Actress in a Leading Role,Imelda Staunton
437,Gus Van Sant,Good Will Hunting,138339411.0,Drama,126.0,friend|genius|janitor|loss of wife|professor,1997,Actor in a Leading Role,Matt Damon
438,Gus Van Sant,Good Will Hunting,138339411.0,Drama,126.0,friend|genius|janitor|loss of wife|professor,1997,Actor in a Supporting Role,Robin Williams
439,Gus Van Sant,Good Will Hunting,138339411.0,Drama,126.0,friend|genius|janitor|loss of wife|professor,1997,Actress in a Supporting Role,Minnie Driver
440,Martin Scorsese,The Color of Money,52293982.0,Drama|Sport,119.0,hustler|losing|pool|pool player|tournament,1986,Actor in a Leading Role,Paul Newman
